"value","startdate","expirydate","recipientintegrationid","limitval","discountlimit"
MIG-OPEN-OK,2026-08-13T00:00:00+09:00,2026-12-31T23:59:59+09:00,,1,
MIG-OPEN-MULTI,2026-08-13T00:00:00+09:00,2026-12-31T23:59:59+09:00,,5,
MIG-OPEN-HIGHCAP,2026-08-13T00:00:00+09:00,2026-12-31T23:59:59+09:00,,1,500000
MIG-OPEN-LOWCAP,2026-08-13T00:00:00+09:00,2026-12-31T23:59:59+09:00,,1,5000
MIG-USER-001,2026-08-13T00:00:00+09:00,2026-12-31T23:59:59+09:00,demo_user_001,1,
MIG-USER-002,2026-08-13T00:00:00+09:00,2026-12-31T23:59:59+09:00,demo_user_002,1,
MIG-SHORT-OK,2026-08-13T00:00:00+09:00,2026-08-20T23:59:59+09:00,,1,
MIG-FUTURE-START,2026-09-01T00:00:00+09:00,2026-12-31T23:59:59+09:00,,1,
MIG-EXPIRES-SOON,2026-08-13T00:00:00+09:00,2026-08-14T23:59:59+09:00,,1,
MIG-UNLIMITED,2026-08-13T00:00:00+09:00,2026-12-31T23:59:59+09:00,,0,
